geek_rate,title,num_votes,avg_rate,id
6.995,Thebes,7481,7.19,30869
6.993,Zombicide Season 2: Prison Outbreak,2692,7.59,137988
6.993,Fury of Dracula (second edition),8116,7.21,20963
6.992,TZAAR,1998,7.66,31999
6.991,One Night Ultimate Werewolf Daybreak,2311,7.61,163166
6.990,Advanced Squad Leader: Starter Kit #1,1900,7.77,9823
6.987,Bohnanza,27679,7.07,11
6.984,Lords of Vegas,4172,7.31,20437
6.984,Quantum,4022,7.35,143519
6.981,Pax Porfiriana,1829,7.72,128780
6.978,Cry Havoc,1858,7.76,192457
6.976,Among the Stars,4954,7.24,110277
6.976,Summoner Wars: Phoenix Elves vs Tundra Orcs,2153,7.61,82421
6.975,Summoner Wars: Guild Dwarves vs Cave Goblins,2003,7.67,82420
6.975,Carcassonne: Hunters and Gatherers,9498,7.15,4390
6.974,Colosseum,6694,7.19,27746
6.974,Vegas Showdown,5393,7.22,15364
6.970,Chinatown,5656,7.22,47
6.969,Escape: The Curse of the Temple,11007,7.11,113294
6.969,Middle-Earth Quest,3358,7.41,31563
6.968,Cuba,6894,7.18,30380
6.968,Betrayal at House on the Hill,20448,7.14,10547
6.967,Washington's War,1876,7.68,38996
6.967,Shadows of Brimstone: Swamps of Death,1343,8.14,150997
6.966,Camel Up,11063,7.11,153938
6.965,Marvel Dice Masters: Uncanny X-Men,2968,7.45,158275
6.965,Lord of the Rings: The Confrontation,5816,7.21,3201
6.963,Myrmes,3606,7.35,126792
6.963,Torres,6887,7.18,88
6.961,Tobago,8055,7.13,42215
6.960,Mr. Jack,11547,7.09,21763
6.957,Baseball Highlights: 2045,1703,7.74,151022
6.957,Vasco da Gama,3677,7.32,41002
6.956,Clank!,1335,8.10,201808
6.956,Space Hulk,3143,7.46,2163
6.955,Age of Industry,2552,7.47,65901
6.955,Alhambra,20702,7.04,6249
6.952,Warhammer: Invasion,4975,7.29,47185
6.952,The Battle of Five Armies,1315,8.01,135219
6.951,Eminent Domain,7211,7.14,68425
6.950,Tinners' Trail,3414,7.33,35570
6.947,No Thanks!,14051,7.04,12942
6.945,Yedo,2458,7.51,117915
6.945,Shipyard,2861,7.39,55600
6.943,Taluva,5878,7.18,24508
6.942,Virgin Queen,1152,8.10,41066
6.942,Secret Hitler,2501,7.61,188834
6.940,Discworld: Ankh-Morpork,6701,7.18,91312
6.939,Yspahan,6963,7.14,22345
6.938,Jamaica,9770,7.10,28023
6.933,Chess,19598,7.09,171
6.933,Arboretum,3158,7.36,140934
6.931,Dungeons & Dragons: The Legend of Drizzt Board Game,3987,7.35,91872
6.931,Friedrich,2164,7.56,12891
6.927,Love Letter: Batman,3027,7.40,168584
6.926,Steampunk Rally,2625,7.45,162007
6.924,51st State: Master Set,1317,7.95,192458
6.924,ZhanGuo,1726,7.68,160495
6.924,Formula D,11714,7.06,37904
6.923,Union Pacific,3905,7.25,94
6.922,Millennium Blades,1276,8.06,151347
6.921,World Without End,3582,7.30,43528
6.921,Legendary: Villains – A Marvel Deck Building Game,1689,7.77,156689
6.919,XCOM: The Board Game,4616,7.23,163602
6.919,Tribune: Primus Inter Pares,3880,7.26,30957
6.918,K2,6240,7.14,73761
6.917,Karuba,2909,7.37,183251
6.916,Kingdom Builder,12589,7.04,107529
