geek_rate,title,num_votes,avg_rate,id
6.884,Onirim (second edition),2988,7.37,156336
6.883,ZÈRTZ,3266,7.31,528
6.883,Brew Crafters,1683,7.67,139898
6.883,Tyrants of the Underdark,1287,7.98,189932
6.881,Polis: Fight for the Hegemony,1504,7.80,69779
6.880,Elder Sign,15398,7.02,100423
6.880,Genoa,5461,7.15,1345
6.876,BANG! The Dice Game,10673,7.03,143741
6.874,Summoner Wars: Alliances Master Set,956,8.33,158889
6.874,Jambo,7306,7.06,12002
6.872,Mystic Vale,3041,7.35,194607
6.866,Maharaja: The Game of Palace Building in India,4466,7.17,9440
6.866,Coal Baron,3002,7.32,143515
6.864,Coloretto,13834,6.97,5782
6.864,Web of Power,3049,7.31,491
6.864,Core Worlds,3314,7.26,98351
6.859,Flick 'em Up!,3964,7.20,169124
6.858,Tragedy Looper,2649,7.38,148319
6.858,Carcassonne: The City,3795,7.21,12902
6.858,Saint Petersburg (second edition),1665,7.63,156943
6.858,Thunderstone: Dragonspire,2419,7.40,85897
6.858,Blue Moon City,6752,7.06,21882
6.858,Cuba Libre,1368,7.81,111799
6.857,Ascension: Deckbuilding Game,8810,7.05,69789
6.857,Harry Potter: Hogwarts Battle,1980,7.67,199042
6.856,Carcassonne: The Castle,6431,7.09,7717
6.856,Ascension: Storm of Souls,2797,7.37,108784
6.854,San Marco,3816,7.19,1041
6.853,Aeon's End,1244,8.16,191189
6.850,Stronghold,3117,7.27,45986
6.850,Santiago,4312,7.15,8125
6.849,Triumph & Tragedy,888,8.39,130960
6.848,Legacy: The Testament of Duke de Crecy,3064,7.27,52461
6.848,Diplomacy,9883,7.06,483
6.848,Between Two Cities,4914,7.12,168435
6.847,Louis XIV,4986,7.11,13642
6.847,Star Wars: The Queen's Gambit,1883,7.56,939
6.846,Wits & Wagers,10056,6.99,20100
6.846,Hawaii,3360,7.22,106217
6.845,D-Day at Omaha Beach,967,8.23,29603
6.844,Dungeons & Dragons: Wrath of Ashardalon Board Game,4510,7.22,66356
6.841,Lords of Xidit,2957,7.27,156566
6.839,Thunderstone,9011,7.01,53953
6.838,Last Night on Earth: The Zombie Game,12047,7.03,29368
6.837,Potion Explosion,3562,7.23,180974
6.836,Blokus,16936,6.94,2453
6.835,Thunder Alley,2223,7.44,108906
6.832,Empires: Age of Discovery,1029,8.06,173442
6.830,Hyperborea,2784,7.33,119788
6.830,Britannia,3594,7.22,240
6.829,CO₂,2952,7.26,72225
6.825,Ascension: Return of the Fallen,2688,7.35,95064
6.825,Skull,5589,7.07,92415
6.825,Finca,5611,7.06,40628
6.822,Antike,4304,7.13,19600
6.821,Netrunner,2121,7.46,1301
6.820,The Palaces of Carrara,2802,7.26,129948
6.819,Conflict of Heroes: Storms of Steel! – Kursk 1943,1350,7.78,38823
6.818,Runebound (Third Edition),1831,7.61,181530
6.817,Super Motherload,1596,7.60,162286
6.816,Cacao,4087,7.14,171499
6.815,Red7,6463,7.02,161417
6.815,BattleCON: War of Indines,1256,7.86,89409
6.815,Battles of Westeros,2385,7.39,67492
6.815,La Città,4652,7.10,554
6.813,Space Hulk: Death Angel – The Card Game,9711,6.99,71721
6.813,Las Vegas,4997,7.07,117959
6.810,Concept,8149,6.98,147151
6.808,Scoville,2932,7.24,145659
6.806,Mexica,3423,7.18,2955
